frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
58,650,75,,,638,63,,,600,72,608,146,602,154,,,630,266,,,655,353,620,316,612,322,636,450,622,465,631.0,581.0,619.0,610.0
59,647,76,,,635,64,,,598,72,605,146,599,153,,,630,266,,,655,354,620,317,613,324,637,452,622,466,632.0,582.0,619.0,610.0
60,644,75,,,632,64,,,594,73,602,147,598,155,,,630,268,,,655,356,619,317,613,324,637,452,623,467,631.0,581.0,619.0,611.0
61,642,75,,,630,64,,,592,74,599,147,598,155,,,630,266,,,654,351,617,317,613,323,635,451,622,466,631.0,581.0,618.0,611.0
62,640,74,,,628,63,,,590,75,595,147,599,156,,,630,268,,,655,355,615,317,614,324,634,451,622,466,632.0,581.0,619.0,612.0
63,639,73,,,626,63,,,590,75,597,147,598,156,,,630,268,,,655,354,616,317,613,324,635,451,622,466,631.0,581.0,619.0,612.0
64,638,73,,,625,63,,,589,75,593,147,599,156,,,630,268,,,654,353,614,316,614,324,634,450,622,465,631.0,581.0,618.0,611.0
65,638,73,,,624,63,,,588,76,596,147,597,157,,,630,268,,,654,352,616,316,613,323,634,450,622,465,630.0,582.0,619.0,610.0
66,637,73,,,624,63,,,587,76,594,147,598,157,,,630,268,,,654,353,614,316,614,323,633,449,622,464,630.0,582.0,619.0,610.0
67,636,73,,,623,63,,,587,76,595,147,597,157,,,629,267,,,653,351,615,316,613,323,633,449,621,464,630.0,582.0,619.0,609.0
68,636,72,,,623,63,,,587,76,594,147,598,157,,,630,267,,,654,351,614,316,614,323,634,450,623,464,630.0,583.0,619.0,609.0
69,636,73,,,623,63,,,587,76,595,147,598,157,,,630,267,,,653,351,614,317,614,324,633,450,622,464,630.0,583.0,619.0,609.0
70,636,73,,,623,63,,,587,76,593,147,599,157,,,630,267,,,654,352,614,316,615,323,633,451,624,465,630.0,583.0,619.0,610.0
71,636,72,,,623,63,,,587,76,595,148,599,157,,,630,267,,,653,351,615,317,614,323,634,451,623,464,630.0,584.0,619.0,610.0
72,636,71,,,623,61,,,587,74,597,146,596,156,,,630,268,,,651,349,619,317,614,324,634,452,622,465,630.0,582.0,617.0,607.0
73,636,73,,,623,63,,,587,76,600,148,597,156,,,630,265,,,652,349,619,317,614,323,635,452,622,464,631.0,584.0,620.0,609.0
74,636,71,,,623,61,,,588,74,597,145,596,155,,,630,267,,,651,345,620,317,615,324,635,453,623,465,630.0,583.0,618.0,606.0
75,636,71,,,623,61,,,588,74,599,145,596,156,,,630,267,,,651,346,622,317,615,324,635,453,622,465,630.0,583.0,618.0,607.0
76,636,71,,,623,61,,,588,74,601,145,595,156,,,630,267,,,651,345,623,317,614,325,635,453,622,465,630.0,583.0,618.0,607.0
77,636,71,,,623,61,,,589,74,600,145,596,156,,,631,267,,,652,346,622,318,615,325,635,453,622,465,630.0,584.0,618.0,607.0
78,636,71,,,623,62,,,589,74,602,146,594,156,,,630,266,,,653,345,624,318,614,325,636,454,622,465,630.0,584.0,619.0,607.0
79,637,73,,,624,64,,,589,76,603,146,596,154,,,629,262,,,654,348,623,318,615,324,638,451,622,462,631.0,584.0,618.0,608.0
80,637,73,,,624,64,,,589,76,604,146,596,155,,,629,262,,,654,348,624,318,615,324,639,452,622,463,632.0,585.0,617.0,608.0
81,637,73,,,625,64,,,590,76,606,146,596,155,,,630,264,,,655,349,625,318,615,324,639,452,622,463,632.0,584.0,617.0,608.0
82,637,72,,,625,62,,,591,73,604,144,595,154,,,630,265,,,653,346,627,317,616,325,638,452,623,464,632.0,581.0,616.0,607.0
83,638,73,,,625,64,,,590,76,607,147,596,155,,,630,264,,,655,351,626,318,615,325,640,452,623,464,632.0,585.0,617.0,609.0
84,638,74,,,625,64,,,591,75,606,147,595,156,,,629,266,,,654,349,627,318,615,325,641,454,624,467,632.0,584.0,619.0,607.0
85,638,74,,,625,64,,,591,75,606,147,596,156,,,630,266,,,654,350,627,318,615,325,641,454,623,467,633.0,585.0,619.0,607.0
86,638,74,,,625,63,,,591,75,605,147,596,156,,,630,265,,,654,350,626,318,616,325,642,453,624,466,632.0,584.0,618.0,607.0
87,638,74,,,626,64,,,591,75,606,147,595,156,,,630,266,,,655,351,628,318,616,325,642,454,623,467,633.0,585.0,619.0,608.0
88,638,74,,,626,64,,,591,75,606,147,596,156,,,630,267,,,655,351,627,318,616,325,642,454,624,467,632.0,585.0,618.0,609.0
89,638,74,,,626,64,,,591,75,605,147,596,156,,,631,266,,,656,351,626,318,616,325,642,454,624,467,632.0,585.0,618.0,609.0
90,639,74,,,626,64,,,591,75,602,146,598,156,,,631,267,,,655,350,624,317,617,325,641,454,625,468,631.0,586.0,618.0,610.0
91,639,74,,,627,64,,,592,75,604,146,597,156,,,631,267,,,656,351,625,317,617,325,641,454,624,467,631.0,586.0,618.0,609.0
92,639,74,,,627,64,,,592,75,602,146,598,155,,,631,266,,,655,350,625,317,617,324,642,454,624,468,631.0,586.0,618.0,610.0
93,639,74,,,627,64,,,592,75,602,146,598,156,,,631,267,,,655,351,625,317,617,325,642,455,625,468,631.0,587.0,618.0,610.0
94,639,74,,,627,63,,,592,75,603,146,597,156,,,631,267,,,655,350,625,317,617,325,642,454,624,468,631.0,587.0,619.0,610.0
95,639,74,,,627,63,,,592,75,603,146,597,156,,,631,267,,,655,350,625,317,617,325,642,454,624,468,631.0,587.0,618.0,610.0
96,640,74,,,627,63,,,592,75,602,146,598,156,,,631,266,,,654,350,624,317,617,325,642,454,625,468,631.0,586.0,618.0,610.0
97,640,74,,,627,63,,,592,75,601,146,599,156,,,631,267,,,655,350,623,317,617,325,641,454,624,467,631.0,586.0,618.0,609.0
98,640,74,,,627,63,,,592,75,600,146,600,156,,,631,267,,,655,350,622,317,618,325,640,453,624,467,631.0,586.0,618.0,609.0
99,640,74,,,627,63,,,593,75,600,146,600,156,,,631,267,,,655,350,622,317,618,325,640,454,624,467,631.0,586.0,618.0,609.0
100,640,74,,,628,63,,,593,75,601,146,600,156,,,631,266,,,654,348,622,317,617,325,639,453,624,466,631.0,586.0,619.0,608.0
101,640,74,,,628,63,,,593,75,600,146,600,156,,,631,267,,,655,348,622,317,617,324,639,453,623,466,632.0,587.0,619.0,608.0
102,640,74,,,628,64,,,593,75,601,146,599,156,,,631,267,,,655,349,622,317,617,324,639,453,623,466,632.0,587.0,619.0,607.0
103,640,74,,,628,64,,,593,75,601,146,599,156,,,631,267,,,655,348,622,317,617,324,639,453,623,466,632.0,585.0,619.0,608.0
104,640,74,,,628,64,,,593,75,601,146,600,156,,,631,267,,,655,348,622,317,617,324,639,452,623,465,632.0,585.0,619.0,607.0
