frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
62,0,"tensor([ 82.8170, 271.8297])","tensor([ 89.8640, 263.3113])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,"tensor([ 81.8146, 282.9281])","tensor([ 89.2101, 274.3047])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,"tensor([ 79.1349, 292.5352])","tensor([ 85.9731, 282.4471])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,"tensor([ 77.9066, 300.3959])","tensor([ 84.0659, 290.5898])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,"tensor([ 71.0098, 309.5586])","tensor([ 78.7252, 300.2543])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,"tensor([ 69.7806, 320.7755])","tensor([ 76.1889, 310.6768])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,"tensor([ 67.0617, 328.8739])","tensor([ 74.9691, 319.5527])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,"tensor([ 61.6505, 336.7491])","tensor([ 68.6067, 327.6488])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,"tensor([ 60.1946, 340.3225])","tensor([ 67.0805, 331.6776])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,"tensor([ 58.0981, 341.8096])","tensor([ 64.7613, 332.3628])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,"tensor([ 55.9776, 339.2806])","tensor([ 61.6098, 330.2183])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,"tensor([ 53.5456, 333.9499])","tensor([ 60.2967, 324.7072])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,"tensor([ 55.3487, 332.3764])","tensor([ 62.0024, 323.0692])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,"tensor([ 54.0280, 330.7185])","tensor([ 60.8701, 321.5612])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,"tensor([ 53.8308, 330.6119])","tensor([ 60.7572, 321.2129])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,"tensor([ 52.8644, 333.2178])","tensor([ 59.6477, 323.9001])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,"tensor([ 50.2754, 334.5219])","tensor([ 56.9294, 325.5398])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,"tensor([ 48.6649, 336.8913])","tensor([ 54.5813, 327.2541])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,"tensor([ 44.4467, 336.3266])","tensor([ 50.2615, 327.9619])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,"tensor([ 36.9897, 334.8997])","tensor([ 43.9478, 326.4258])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,"tensor([ 31.0718, 333.7236])","tensor([ 38.4735, 324.3863])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,"tensor([ 29.7347, 333.2251])","tensor([ 36.7068, 323.3510])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,"tensor([ 24.8471, 334.3359])","tensor([ 31.0191, 324.6365])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,"tensor([ 21.3232, 332.2867])","tensor([ 28.8684, 322.8243])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,"tensor([ 19.8378, 331.0928])","tensor([ 26.5562, 321.1419])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,"tensor([ 16.9351, 332.6862])","tensor([ 23.1849, 321.9781])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,"tensor([ 14.8869, 330.5703])","tensor([ 21.2924, 319.5000])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,"tensor([ 15.9670, 327.3513])","tensor([ 22.6246, 316.9650])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,"tensor([ 13.3729, 322.1652])","tensor([ 19.9442, 312.6343])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,"tensor([ 14.9261, 319.6526])","tensor([ 22.7182, 308.8960])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,"tensor([ 13.1808, 318.3960])","tensor([ 21.2305, 307.9580])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,"tensor([ 13.7287, 316.3303])","tensor([ 20.4535, 305.3246])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,"tensor([ 10.9966, 304.0615])","tensor([ 17.4819, 294.5831])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,"tensor([ 17.8528, 297.0026])","tensor([ 25.2994, 286.9123])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,"tensor([ 17.8443, 286.6517])","tensor([ 25.4849, 276.4939])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,"tensor([ 15.4365, 278.5347])","tensor([ 21.7104, 268.7028])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,"tensor([ 20.7529, 264.4659])","tensor([ 28.2962, 253.7197])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,"tensor([ 27.5887, 253.2200])","tensor([ 34.7260, 242.6526])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
